bar_id,node_i,node_j,length_m,length_mm,force_kN,force_type
51,14,21,2.0,2000.0,0.0,C
55,15,22,2.0,2000.0,-5.14,C
59,16,23,2.0,2000.0,-4.49,C
63,17,24,2.0,2000.0,-4.47,C
67,18,25,2.0,2000.0,-4.49,C
71,19,26,2.0,2000.0,-5.14,C
74,20,27,2.0,2000.0,0.0,C
8,2,3,2.0017,2001.7,0.0,C
12,3,4,2.0017,2001.7,0.0,C
33,9,10,2.0017,2001.7,-3.69,C
37,10,11,2.0017,2001.7,-3.69,C
58,16,17,2.0017,2001.7,-3.16,C
62,17,18,2.0017,2001.7,-3.16,C
83,23,24,2.0017,2001.7,-3.16,C
87,24,25,2.0017,2001.7,-3.16,C
108,30,31,2.0017,2001.7,-3.69,C
112,31,32,2.0017,2001.7,-3.69,C
127,37,38,2.0017,2001.7,0.0,C
128,38,39,2.0017,2001.7,0.0,C
26,7,14,2.0143,2014.3,0.0,C
30,8,15,2.0143,2014.3,-5.04,C
34,9,16,2.0143,2014.3,-4.35,C
38,10,17,2.0143,2014.3,-4.35,C
42,11,18,2.0143,2014.3,-4.35,C
46,12,19,2.0143,2014.3,-5.04,C
49,13,20,2.0143,2014.3,0.0,C
76,21,28,2.0143,2014.3,0.0,C
80,22,29,2.0143,2014.3,-5.04,C
84,23,30,2.0143,2014.3,-4.35,C
88,24,31,2.0143,2014.3,-4.35,C
92,25,32,2.0143,2014.3,-4.35,C
96,26,33,2.0143,2014.3,-5.04,C
99,27,34,2.0143,2014.3,0.0,C
4,1,2,2.0156,2015.6,0.0,C
16,4,5,2.0156,2015.6,0.0,C
29,8,9,2.0156,2015.6,-3.57,C
41,11,12,2.0156,2015.6,-3.57,C
54,15,16,2.0156,2015.6,-2.95,C
66,18,19,2.0156,2015.6,-2.95,C
79,22,23,2.0156,2015.6,-2.95,C
91,25,26,2.0156,2015.6,-2.95,C
104,29,30,2.0156,2015.6,-3.57,C
116,32,33,2.0156,2015.6,-3.57,C
126,36,37,2.0156,2015.6,0.0,C
129,39,40,2.0156,2015.6,0.0,C
0,0,1,2.0429,2042.9,0.0,C
20,5,6,2.0429,2042.9,0.0,C
25,7,8,2.0429,2042.9,-3.84,C
45,12,13,2.0429,2042.9,-3.84,C
50,14,15,2.0429,2042.9,-3.76,C
70,19,20,2.0429,2042.9,-3.76,C
75,21,22,2.0429,2042.9,-3.76,C
95,26,27,2.0429,2042.9,-3.76,C
100,28,29,2.0429,2042.9,-3.84,C
120,33,34,2.0429,2042.9,-3.84,C
125,35,36,2.0429,2042.9,0.0,C
130,40,41,2.0429,2042.9,0.0,C
1,0,7,2.0568,2056.8,0.0,C
5,1,8,2.0568,2056.8,-5.03,C
9,2,9,2.0568,2056.8,-4.97,C
13,3,10,2.0568,2056.8,-4.94,C
17,4,11,2.0568,2056.8,-4.97,C
21,5,12,2.0568,2056.8,-5.03,C
24,6,13,2.0568,2056.8,0.0,C
101,28,35,2.0568,2056.8,0.0,C
105,29,36,2.0568,2056.8,-5.03,C
109,30,37,2.0568,2056.8,-4.97,C
113,31,38,2.0568,2056.8,-4.94,C
117,32,39,2.0568,2056.8,-4.97,C
121,33,40,2.0568,2056.8,-5.03,C
124,34,41,2.0568,2056.8,0.0,C
32,9,15,2.8284,2828.4,-3.77,C
43,11,19,2.8284,2828.4,-3.77,C
81,22,30,2.8284,2828.4,-3.77,C
94,26,32,2.8284,2828.4,-3.77,C
3,1,7,2.8291,2829.1,0.0,C
22,5,13,2.8291,2829.1,0.0,C
102,28,36,2.8291,2829.1,0.0,C
123,34,40,2.8291,2829.1,0.0,C
60,16,24,2.8297,2829.7,-3.82,C
61,17,23,2.8297,2829.7,-3.82,C
64,17,25,2.8297,2829.7,-3.82,C
65,18,24,2.8297,2829.7,-3.82,C
36,10,16,2.8328,2832.8,-3.83,C
39,10,18,2.8328,2832.8,-3.83,C
85,23,31,2.8328,2832.8,-3.83,C
90,25,31,2.8328,2832.8,-3.83,C
28,8,14,2.8339,2833.9,-2.81,C
47,12,20,2.8339,2833.9,-2.81,C
77,21,29,2.8339,2833.9,-2.81,C
98,27,33,2.8339,2833.9,-2.81,C
7,2,8,2.8378,2837.8,-3.05,C
18,4,12,2.8378,2837.8,-3.05,C
106,29,37,2.8378,2837.8,-3.05,C
119,33,39,2.8378,2837.8,-3.05,C
56,15,23,2.8395,2839.5,-3.88,C
57,16,22,2.8395,2839.5,-3.88,C
68,18,26,2.8395,2839.5,-3.88,C
69,19,25,2.8395,2839.5,-3.88,C
35,9,17,2.8468,2846.8,-3.95,C
40,11,17,2.8468,2846.8,-3.95,C
86,24,30,2.8468,2846.8,-3.95,C
89,24,32,2.8468,2846.8,-3.95,C
11,3,9,2.8561,2856.1,-3.34,C
14,3,11,2.8561,2856.1,-3.34,C
110,30,38,2.8561,2856.1,-3.34,C
115,32,38,2.8561,2856.1,-3.34,C
52,14,22,2.859,2859.0,-3.18,C
53,15,21,2.859,2859.0,-3.18,C
72,19,27,2.859,2859.0,-3.18,C
73,20,26,2.859,2859.0,-3.18,C
31,8,16,2.8706,2870.6,-4.17,C
44,12,18,2.8706,2870.6,-4.17,C
82,23,29,2.8706,2870.6,-4.17,C
93,25,33,2.8706,2870.6,-4.17,C
10,2,10,2.884,2884.0,-3.55,C
15,4,10,2.884,2884.0,-3.55,C
111,31,37,2.884,2884.0,-3.55,C
114,31,39,2.884,2884.0,-3.55,C
27,7,15,2.9037,2903.7,-3.51,C
48,13,19,2.9037,2903.7,-3.51,C
78,22,28,2.9037,2903.7,-3.51,C
97,26,34,2.9037,2903.7,-3.51,C
6,1,9,2.9211,2921.1,-3.78,C
19,5,11,2.9211,2921.1,-3.78,C
107,30,36,2.9211,2921.1,-3.78,C
118,32,40,2.9211,2921.1,-3.78,C
2,0,8,2.9672,2967.2,-4.24,C
23,6,12,2.9672,2967.2,-4.24,C
103,29,35,2.9672,2967.2,-4.24,C
122,33,41,2.9672,2967.2,-4.24,C
